company	address	city	state	zip_code	lat	lon	website
Big Bear Brewing Co	1800 N University Dr	Coral Springs	FL	33071-6031	26.253941	-80.254023	www.bigbearbrewingco.com
Bangin' Banjo Brewing Company	3200 NW 23rd Ave Ste 500	Pompano Beach	FL	33069-5909	26.269582	-80.15577	www.banginbanjobrewing.com
The Weed Reaper Experiment Brewery and Taproom	3260 NW 23rd Ave Ste 400E	Pompano Beach	FL	33069-5937	26.270308	-80.155503	www.holymackerelbeers.com
Bone Hook Brewing Company	1514 Immokalee Rd Unit 106	Naples	FL	34110-1454	26.27162	-81.78912	www.bonehookbrewing.com
South Cypress Brewing	895 Wiggins Pass Rd	Naples	FL	34110-6118	26.294947	-81.803194	
Momentum Brewhouse	9786 Bonita Beach Rd SE Ste 1	Bonita Springs	FL	34135-4666	26.33146	-81.789762	www.momentumbrewhouse.com
Robot Brewing Company	2621 N Federal Hiwy	Boca Raton	FL	33431	26.374614	-80.076883	http://robotbrewingco.com
Barrel of Monks Brewing	1141 S Rogers Cir Ste 5	Boca Raton	FL	33487-2789	26.404027	-80.110171	www.barrelofmonks.com
Crazy Uncle Mike's	6450 N Federal Hwy	Boca Raton	FL	33487	26.406936	-80.075739	www.crazyunclemikes.com
Saltwater Brewery	1701 W Atlantic Ave	Delray Beach	FL	33444-1566	26.46164	-80.09105	www.saltwaterbrewery.com
Palm City Brewing	7887 Drew Cir Ste 130	Fort Myers	FL	33967-6083	26.486563	-81.822948	
Devour Brewing Co	1500 SW 30th Ave Ste 4	Boynton Beach	FL	33426-9044	26.496954	-80.088589	www.devourbrewing.com
Point Ybel Brewing Company	16120 San Carlos Blvd Ste 4	Fort Myers	FL	33908-3294	26.506514	-81.944307	www.pointybelbrew.com
NOBO Brewing Company	2901 Commerce Park Dr	Boynton Beach	FL	33426-8728	26.555043	-80.071303	www.nobobrewing.com
Due South Brewing Co	2900 High Ridge Rd Ste 3	Boynton Beach	FL	33426-8708	26.556194	-80.07474	www.duesouthales.com
Copperpoint Brewing Company	151 Commerce Rd	Boynton Beach	FL	33426-9365	26.559549	-80.073039	
Big Storm Brewing	839 Miramar St	Cape Coral	FL	33904-9046	26.561004	-81.956015	
Fort Myers Brewing	12811 Commerce Lakes Dr Ste 28	Fort Myers	FL	33913-8649	26.562066	-81.74328	
Big Blue Brewing	4721 SE 10th Pl	Cape Coral	FL	33904-9168	26.563991	-81.952342	www.bigbluebrewing.com
Eight-Foot Brewing, LLC	4417 SE 16th PL., Unit 11	Cape Coral	FL	33904	26.570256	-81.94252	www.eightfootbrewing.com
Old Soul Brewing	10970 S Cleveland Ave Ste 402	Fort Myers	FL	33907-2315	26.580534	-81.873457	www.oldsoulbrewcompany.com
Bury Me Brewing Company	4224 Cleveland Ave Ste 7	Fort Myers	FL	33901-9051	26.600858	-81.871755	www.burymebrewing.com
Mathews Brewing Company	130 S H St	Lake Worth	FL	33460-4431	26.613676	-80.058169	www.mathewsbrewingcompany.com
Coastal Dayz Brewery LLC	2161 McGregor Blvd Ste E	Fort Myers	FL	33901-3426	26.63715	-81.87653	www.coastaldayzbrewery.com
Millennial Brewing Company	1811 Royal Palm Ave	Fort Myers	FL	33901-3023	26.642906	-81.864341	www.millennialbrewing.com
Dixie Grill & Brewery	5101 South Dixie Highway	West Palm Beach	FL	33405	26.667317	-80.055573	
Scotty's Bierwerks	901 E Industrial Cir Unit 1-3	Cape Coral	FL	33909-7446	26.667973	-81.928883	www.facebook.com/scottysbierwerks
Royal Palm Brewing Company	543 N State Road 7 Ste 103	Royal Palm Beach	FL	33411-3516	26.687257	-80.203735	www.facebook.com/royalpalmbrewingcompany/
Civil Society Brewing Co- West Palm Beach	425 Kanuga Dr	West Palm Beach	FL	33401	26.697305	-80.055332	
Steam Horse Brewing	1500 Elizabeth Ave	West Palm Beach	FL	33401	26.697998	-80.06476	
Ookapow Brewing Company	1142 Old Okeechobee Road, Bay 13	West Palm Beach	FL	33401	26.699961	-80.064226	www.ookapow.com
West Palm Beach Brewery & Wine Vault	332 Evernia St	West Palm Beach	FL	33401-5404	26.711068	-80.053153	www.WestPalmBeer.com
Twisted Trunk Brewing Company	2000 Pga Blvd Ste 5506	North Palm Beach	FL	33408-2726	26.843638	-80.063542	www.twistedtrunkbrewing.com
Civil Society Brewing Co	1200 Town Center Dr Ste 101	Jupiter	FL	33458-5257	26.889501	-80.115704	www.civilsocietybrewing.com
Fat Point Brewing	611 Charlotte St	Punta Gorda	FL	33950-4115	26.942037	-82.029247	www.fatpoint.com
Tequesta Brewing Co	287 S US Highway 1	Tequesta	FL	33469-2701	26.959065	-80.084138	www.tequestabrewing.com
Inlet Brewing Co	4448 Nicole Cir	Jupiter	FL	33469	26.961133	-80.099401	www.inletbrewingco.com
3 Bridges Brewing	2107 Tamiami Trl S	Venice	FL	34293-5011	27.056444	-82.409838	
Three Bridges Brewing / Off the Wagon Brewery	2107 Tamiami Trl S	Venice	FL	34293-5011	27.056444	-82.409838	www.otwbar.com
Sarasota Brewing Co	6607 Gateway Ave	Sarasota	FL	34231-5805	27.259738	-82.51615	www.sarasotabrewing.com
Brew Life Brewing	5767 Beneva Rd	Sarasota	FL	34233-4105	27.269997	-82.496927	www.brewlifebrewing.com
Calusa Brewing Company	5701 Derek Ave	Sarasota	FL	34233-2413	27.270938	-82.483488	www.calusabrewing.com
Side Door Brewing Company	1419 SE Village Green Dr	Port Saint Lucie	FL	34952-3454	27.306555	-80.307525	www.sidedoorbrewery.com
Big Top Brewing Company	6111 Porter Way Unit B	Sarasota	FL	34232-6224	27.322908	-82.448579	Bigtopbrewing.com
HopLife Brewing Company	679 NW Enterprise Dr	Port Saint Lucie	FL	34986-2253	27.334562	-80.409018	www.hoplife.com
JDub's Brewing Co.	1215 Mango Ave	Sarasota	FL	34237-2816	27.348908	-82.52547	www.jdubsbrewing.com
Sailfish Brewing Company, llc	130 N 2nd St	Fort Pierce	FL	34950-4403	27.448597	-80.32387	www.sailfishbrewingco.com
Good Liquid Brewing Company	4824 14th St W	Bradenton	FL	34207-2017	27.454971	-82.577029	www.thegoodliquidbrewing.com
Naughty Monk Brewery L.L.C.	2507 Lakewood Ranch Blvd	Bradenton	FL	34211-4949	27.475315	-82.433085	www.naughtymonkbrewery.com
Darwin Brewing Co	803 17th Ave W	Bradenton	FL	34205-7608	27.484087	-82.570275	www.darwinbrewingco.com
Islamorada Beer Company	3200 St Lucie Blvd	Fort Pierce	FL	34946-6761	27.48443	-80.357077	
Motorworks Brewing	1014 9th St W	Bradenton	FL	34205-7331	27.490796	-82.571574	www.motorworksbrewing.com
3 Keys Brewing Company, LLC	2505 Manatee Ave E	Bradenton	FL	34208-2421	27.496888	-82.532705	www.3keysbrewing.com
Islamorada Beer Company	3200 Siant Lucie Blvd	Fort Pierce	FL	34946-6761	27.511616	-80.364447	www.islamoradabeerco.com
Corporate Ladder Brewing Company	4935 96th Street E	Palmetto	FL	34221	27.599752	-82.51238	www.corporateladderbrewing.com
American Icon Brewery	1133 19th Place	Vero Beach	FL	32960	27.637089	-80.397017	www.americaniconbrewery.com
Walking Tree Brewery	3209 Dodger Rd	Vero Beach	FL	32960-7976	27.64589	-80.41766	www.walkingtreebrewery.com
Orchid Island Brewery	2855 Ocean Dr Ste C1	Vero Beach	FL	32963-2038	27.648264	-80.355656	www.orchidislandbrewery.com
Lazy Beach Brewing	7522 Bichon Dr 100	Corpus Christi	TX	78414-3910	27.653523	-97.372376	lazybeachbrewing.com
Lorelei Brewing Co	520 N A. S Dr	Corpus Christi	TX	78418-3254	27.671223	-97.287114	www.loreleibrewing.beer
B and J's Handcrafted Texas Ales	6662 South Staples	Corpus Christi	TX	78413	27.679514	-97.386534	pizzaandbrew@aol.com
Mastry's Brewing Co	7701 Blind Pass Rd	St Pete Beach	FL	33706-1726	27.744551	-82.751279	www.mastrysbrewingco.com
Four Stacks Brewing	5469 N US Highway 41	Apollo Beach	FL	33572-3505	27.74769	-82.41444	fourstacksbrewing.com
Cycle Brewing Production and Warehouse	2135 5th Ave S	Saint Petersburg	FL	33712-1304	27.766776	-82.661421	
3 Daughters Brewing	222 22nd St S	Saint Petersburg	FL	33712-1240	27.768614	-82.662326	www.3dbrewing.com
Pinellas Ale Works	1962 1st Ave S	Saint Petersburg	FL	33712-1345	27.769898	-82.660095	www.pawbeer.com
Cage Brewing	2001 1st Ave S	Saint Petersburg	FL	33712-1201	27.77019	-82.660263	
Avid Brew Co	1745 1st Ave S	Saint Petersburg	FL	33712	27.770479	-82.657257	www.avidbrew.com
Right Around The Corner	2244 Central Ave	Saint Petersburg	FL	33712	27.770768	-82.663947	
Cycle Brewing	534 Central Ave	St Petersburg	FL	33701-3704	27.770919	-82.640765	www.cyclebrewing.com
Green Bench Brewing Co	1133 Baum Ave N	Saint Petersburg	FL	33705-1555	27.77171	-82.650489	www.greenbenchbrewing.com
St. Pete Brewing Company	544 1st Ave NÃ‚Â 	Saint Petersburg	FL	33701-3702	27.771793	-82.641048	www.stpetebrewingcompany.com
Overflow Brewing Company	770 1st Ave N	Saint Petersburg	FL	33701	27.771845	-82.644528	www.overflowbrewingco.com
Pesky Pelican Brewpub	923 72nd St N	Saint Petersburg	FL	33710-4666	27.781239	-82.737268	www.peskypelicanbrewpub.com
Flying Boat Brewing Company	1776 11th Ave N	St Petersburg	FL	33713-5747	27.782595	-82.657744	www.flyingboatbrewing.com
Mad Beach Brewing	12945 Village Blvd	Madeira Beach	FL	33708-2656	27.786731	-82.783416	www.madbeachbrewing.com
Rebel Toad Brewing Co	425 William St	Corpus Christi	TX	78401-2538	27.794288	-97.395242	www.rebeltoadbrewing.com
Railroad Seafood Station & Brewing Co.	1214 N Chaparral St	Corpus Christi	TX	78401-1503	27.802994	-97.394159	www.railroadseafood.com
Pareidolia Brewing Co.	712 Cleveland St	Sebastian	FL	32958-4178	27.810633	-80.465923	www.pareidoliabeer.com
Mash Monkeys Brewing Company	920 U.S. Highway 1 Unit 1	Sebastian	FL	32958	27.812184	-80.46709	Www.mashmonkeysbrewing.com
Dissent Craft Brewing Company, LLC	5518 Haines Rd N	Saint Petersburg	FL	33714-1999	27.821981	-82.670487	www.dissentcraftbrewing.com
Leaven Brewing Co.	11238 Boyette Rd	Riverview	FL	33569-8009	27.854537	-82.316528	www.leavenbrewing.com
Rapp Brewing Company	10930 Endeavour Way Ste C	Seminole	FL	33777-1632	27.870739	-82.735586	www.rapp.beer
Brewers Tasting Room	11270 4th St N Ste 202	Saint Petersburg	FL	33716-2937	27.874371	-82.640218	www.brewerstastingroom.com
Pair O' Dice Brewing Company	4400 118th Ave N Ste 208	Clearwater	FL	33762-4433	27.878024	-82.693651	www.pairodicebrewing.com
Big Storm Brewing Co.	12707 49th St N	Clearwater	FL	33762-4604	27.887421	-82.69974	www.bigstormbrewery.com
Bullfrog Creek Brewing Company	3632 Lithia Pinecrest Rd	Valrico	FL	33596-6305	27.887768	-82.238016	www.bullfrogcreekbrewing.com
81Bay Brewing Company	4465 W Gandy Blvd Ste 600	Tampa	FL	33611-3379	27.89581	-82.520296	81baybrewco.com
Arkane Aleworks	2480 E Bay Dr #23	Largo	FL	33771-2467	27.91665	-82.761457	www.arkanebeer.com
Tampa Beer Works	333 N Falkenburg Rd Ste D407	Tampa	FL	33619-7895	27.954888	-82.332949	www.esbbrewing.com
Coppertail Brewing	2601 E 2nd Ave	Tampa	FL	33605-5503	27.956427	-82.430151	www.coppertailbrewing.com
Cigar City Brewing Co	3924 W Spruce St	Tampa	FL	33607-2441	27.95903	-82.50919	www.cigarcitybrewing.com
Hidden Springs Ale Works	1631 N Franklin St	Tampa	FL	33602-2621	27.959325	-82.45996	www.Hiddenspringsaleworks.com
Ulele Spring Brewery	1810 N Highland Ave	Tampa	FL	33602-2605	27.959915	-82.462796	
Southern Lights Brewing	2045 Gulf To Bay Blvd Ste D	Clearwater	FL	33765-3752	27.960096	-82.752628	www.southernlightsbrewing.com
Zydeco Brew Werks	1902 E 7th Ave	Tampa	FL	33605-3810	27.960464	-82.437799	
Tampa Bay Brewing Co Brewpub	1600 E 8th Ave Ste A123	Tampa	FL	33605-3760	27.960654	-82.441464	tbbc.beer
Cigar City Airport Location	TIA Airside C 3rd Level	Tampa	FL	33607	27.966697	-82.556868	
Grindhaus Brew Lab	1650 N Hercules Ave Ste I	Clearwater	FL	33765-1969	27.981809	-82.757065	www.grindhausbrewlab.com
Clearwater Brewing Company	1700 N Fort Harrison Ave	Clearwater	FL	33755	27.982533	-82.796737	www.clearwaterbrewingcompany.com
Brew Bus Brewing	4101 N Florida Ave	Tampa	FL	33603-3817	27.982715	-82.458698	www.brewbususa.com
Southern Brewing & Winemaking	4500 N Nebraska Ave	Tampa	FL	33603-4149	27.986346	-82.451632	www.southernbrewingwinemaking.com
Crooked Thumb Brewery	555 10th Ave S	Safety Harbor	FL	34695-3821	27.987493	-82.698769	www.crookedthumbbrew.com
troubled waters brewing co.	670 Main Street	Safety Harbor 	FL	34695	27.990501	-82.693899	www.troubledwatersbeer.com
Angry Chair Brewing, LLC.	6401 N Florida Ave	Tampa	FL	33604-6007	28.00514	-82.459211	www.angrychairbrewing.com
Sea Dog Brewing Co - Clearwater	26200 US Highway 19 N	Clearwater	FL	33761-3580	28.009768	-82.732552	www.seadogbrewing.com
7venth Sun Tampa	6809 N Nebraska Ave	Tampa	FL	33604-5660	28.010109	-82.449221	
7venth Sun Brewery	6809 NORTH NEBRASKA AVENUE	TAMPA	FL	33604	28.010109	-82.449221	www.7venthsun.com
Caledonia Brewing	587 Main St	Dunedin	FL	34698-4998	28.013427	-82.784297	www.caledoniabrewing.com
Dunedin Brewery	937 Douglas Ave	Dunedin	FL	34698-4945	28.014083	-82.787573	www.dunedinbrewery.com
Six Ten Brewing	7052 Benjamin Rd	Tampa	FL	33634-3034	28.014475	-82.542294	
Cueni Brewing Co.	945 Huntley Ave	Dunedin	FL	34698-5722	28.014812	-82.788964	www.cuenibrewing.com
Soggy Bottom Brewing Co.	660 Main St	Dunedin	FL	34698	28.015346	-82.782851	www.soggybottombrewery.com
Woodwright Brewing Company	985 Douglas Ave	Dunedin	FL	34698-4945	28.015514	-82.787628	
Grove Roots Brewing	302 3rd St SW	Winter Haven	FL	33880-3409	28.019729	-81.73044	www.groveroots.com
Tampa Bay Brewing Co Production Brewery	13937 Monroes Business Park	Tampa	FL	33635-6309	28.038172	-82.647738	
Brew Hub, LLC	3900 Frontage Rd S	Lakeland	FL	33815-3205	28.044734	-82.02393	www.brewhub.com
Island Coastal Lager	3900 Frontage Rd S	Lakeland	FL	33815	28.044734	-82.02393	www.islandcoastallager.com
Orange Blossom Brewing Company	3900 Frontage Rd S	Lakeland	FL	33815	28.044734	-82.02393	www.orangeblossombrewing.com
Swan Brewing	115 W. Pine St.	Lakeland	FL	33815	28.046153	-81.958049	www.swanbrewing.com
D. G. Yuengling and Son Inc	11111 N 30th St	Tampa	FL	33612-6439	28.048222	-82.423768	www.yuengling.com
Two Henrys Brewing Company	5210 Thonotosassa Rd	Plant City	FL	33565-5700	28.050143	-82.189589	
Lagerhaus Brewery & Grill	3438 E Lake Rd	Palm Harbor	FL	34685-2400	28.061727	-82.705972	www.lagerhausbrewery.com
The Wild Rover Brewery	13921 Lynmar Blvd	Tampa	FL	33626	28.065583	-82.632291	www.thewildroverbrewery.com
The Florida Brewery	202 Gandy Rd	Auburndale	FL	33823-2726	28.069482	-81.781971	www.floridabrewery.com
Stilt House Brewery	625 US 19 Alt	Palm Harbor	FL	34683	28.073753	-82.767355	www.stilthousebrewery.com
Palm Harbor Brewery	1022 Georgia Ave	Palm Harbor	FL	34683-4317	28.076907	-82.766518	
Hell 'n Blazes Brewing Company	1002 E New Haven Ave	Melbourne	FL	32901-5437	28.07825	-80.60437	www.HellnBlazesBrewing.com
De Bine Brewing Company	993 Florida Ave	Palm Harbor	FL	34683-4224	28.078299	-82.767624	www.debinebrewingco.com
Mr Dunderbaks Biergarten and Brewery / Dunderbrau Brewing	14929 Bruce B Downs Blvd	Tampa	FL	33613-2860	28.083169	-82.411885	www.dunderbaks.ieasysite.com
Bastet Brewing	15409 Stone Creek Ln	Tampa	FL	33613-1254	28.093155	-82.46675	www.bastetbrewing.com
Lost Shirt Brewing Company	7025 Industrial Rd Unit B	West Melbourne	FL	32904-1616	28.097885	-80.673268	lostshirtbrewingco@gmail.com
Brock's Homebrew Supply	7025 Industrial Rd A, West	Melbourne	FL	32904	28.097885	-80.673268	www.brockshomebrew.com
Intracoastal Brewing Co.	652 W Eau Gallie Blvd	Melbourne	FL	32935-6509	28.129865	-80.628914	www.intracoastalbrewingcompany.com
BeachFly Brewing Company	1080 East Eau Gallie Blvd	Indian Harbour Beach	FL	32937	28.139071	-80.581903	
Silverking Brewing Company	325 E Lemon St	Tarpon Springs	FL	34689-4309	28.145185	-82.752818	www.silverkingbrewing.com
Saint Somewhere Brewing Co	312 E Tarpon Ave	Tarpon Springs	FL	34689-4320	28.145964	-82.753096	www.saintsomewherebrewing.com
Two Frogs Brewing Company	151 E Tarpon Ave	Tarpon Springs	FL	34689-3451	28.146511	-82.755054	
Escape Brewing Company	9945 Trinity Blvd Ste 108	Trinity	FL	34655-4552	28.181514	-82.650124	www.escapebrewingcompany.com
Infusion Brewing Company of Trinity	7813 Mitchell Blvd	New Port Richey	FL	34655-4723	28.186858	-82.684038	
Big Storm Brewing	2330 Success Dr	Odessa	FL	33904-9046	28.19262	-82.626118	
Craft Life Brewing	2624 Land O Lakes Blvd	Land O Lakes	FL	34639-4910	28.19626	-82.46465	
In the Loop Brewing	3338 Land O Lakes Blvd	Land O Lakes	FL	34639-4408	28.20629	-82.46247	www.intheloopbrewingcompany.com
Charlie and Jakes Brewery and Grille	6300 N Wickham Rd Ste 137	Melbourne	FL	32940-2037	28.215039	-80.674791	www.cjbrewery.com
Zephyrhills Brewing Company	38530 5th Ave	Zephyrhills	FL	33542-4318	28.234621	-82.179093	www.zbcbeer.com
Cotee River Brewing Company	5760 Main St	New Port Richey	FL	34652	28.250022	-82.718817	www.coteeriverbrewing.com
Cocoa Beach Brewing Co	150 N Atlantic Ave	Cocoa Beach	FL	32931-2960	28.321331	-80.609168	www.cocoabeachbrewingcompany.com
Dirty Oar Beer Company	329 W King St	Cocoa	FL	32922-4607	28.35571	-80.728604	http://dirtyoarbeercompany.com/
Big River Grille & Brewing Works - Disney	2101 Epcot Resorts Blvd	Lake Buena Vista	FL	32830-8442	28.366551	-81.556208	www.craftworksrestaurants.com
Bugnutty Brewing Company	715 N Courtenay Pkwy	Merritt Island	FL	32953-4651	28.369601	-80.701471	www.bugnutty.com
Park Pizza & Brewing Company	6941 Lake Nona Blvd Ste 100	Orlando	FL	32827	28.371618	-81.279631	www.parkpizzalakenona.com
Florida Beer Co	200 Imperial Blvd	Cape Canaveral	FL	32920-4245	28.399023	-80.611808	www.floridabeer.com
Whisper Creek Farm: Kitchen and Brewery	4040 Central Florida Pkwy	Orlando	FL	32837-7662	28.401489	-81.42823	www.grandelakes.com
Half Barrel Beer Project	9650 Universal Blvd Ste 143	Orlando	FL	32819-9383	28.431344	-81.449934	www.halfbarrelproject.com
Inoculum Ale Works	1320 Commercial Way	Spring Hill	FL	34606	28.451934	-82.630137	www.inoculumaleworks.com
Ellipsis Brewing	7500 Tpc Blvd Ste 8	Orlando	FL	32822-5181	28.456786	-81.296287	
Castle Church Brewing Community	6820 Hoffner Ave #1	Orlando	FL	32822-3403	28.479543	-81.290884	www.castlechurchbrewing.com
